model,cost_bps,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover
cap300_composite,25.0,2022-01-31_2022-12-31,12,0.2178173563419452,0.03139589518781816,0.2178173563419452,0.03139589518781816,0.18642146115412705,0.6593840613808627,0.5849406275071768,-0.453505033501615,-0.0538908420070876,0.5,0.517333800527894,-1.415912396909962,0.5317584066514889,0.6388888888888888
cap300_composite,25.0,2022-02-28_2023-01-31,12,0.37345604352710104,-0.006523085673795559,0.37345604352710104,-0.006523085673795559,0.3799791292008966,0.7064843565138395,0.7562389184422835,-0.453505033501615,-0.053890842007087936,0.5,0.7358711511581608,-2.772637939312908,0.668701773057462,0.6388888888888888
cap300_composite,25.0,2022-03-31_2023-02-28,12,0.2544350158961102,-0.03763942955797195,0.2544350158961102,-0.03763942955797195,0.2920744454540821,0.7184459586387519,0.6238487577681767,-0.453505033501615,-0.05860315994470999,0.5,0.6547963325957116,-2.845063796909976,0.405527535202757,0.611111111111111
cap300_composite,25.0,2022-04-30_2023-03-31,12,0.10913273170251125,-0.0433257664262765,0.10913273170251125,-0.0433257664262765,0.15245849812878776,0.710678917795121,0.44546079977349273,-0.453505033501615,-0.052003665957635614,0.4166666666666667,0.48700176002801987,-3.8424498919216887,0.16578229783292597,0.6388888888888888
cap300_composite,25.0,2022-05-31_2023-04-30,12,-0.29961627620435827,-0.07213752035282106,-0.29961627620435827,-0.07213752035282106,-0.2274787558515372,0.7354861284477155,-0.16576930444755233,-0.3152025111583945,-0.07596598010903766,0.3333333333333333,-0.0668739082512161,-0.93217835051406,-0.1734870498512855,0.6666666666666666
cap300_composite,25.0,2022-06-30_2023-05-31,12,0.04005187324104953,-0.0361282154897381,0.04005187324104953,-0.0361282154897381,0.07618008873078763,0.6912709318211591,0.34580331271801495,-0.3152025111583946,-0.07596598010903755,0.4166666666666667,0.38381096837173584,-2.5613025370679887,0.16160154537453764,0.7222222222222222
cap300_composite,25.0,2022-07-31_2023-06-30,12,0.22015094346261033,-0.0028433046031512976,0.22015094346261033,-0.0028433046031512976,0.22299424806576162,0.6875545374094643,0.5822581177304261,-0.3152025111583947,-0.07596598010903743,0.5,0.5674639350842919,-1.3008106443285339,0.48307891843338857,0.75
cap300_composite,25.0,2022-08-31_2023-07-31,12,0.47113707873410093,-0.031389184091800915,0.47113707873410093,-0.031389184091800915,0.5025262628259018,0.6442885316642579,0.8758596343301046,-0.3152025111583946,-0.0655917893195096,0.5,0.9149136671643835,-0.03084986133172048,0.7342518276461549,0.7222222222222222
cap300_composite,25.0,2022-09-30_2023-08-31,12,0.6551528373862152,-0.014331580574544756,0.6551528373862152,-0.014331580574544756,0.66948441796076,0.6613598909214465,1.0542841698004775,-0.3152025111583946,-0.06559178931950937,0.5,1.0661700560027234,-0.000795416501249859,0.9694356170960867,0.7222222222222222
cap300_composite,25.0,2022-10-31_2023-09-30,12,0.6593745147813999,-0.04883569016310929,0.6593745147813999,-0.04883569016310929,0.7082102049445091,0.6608639393869977,1.058666127501515,-0.3152025111583946,-0.06327241269436523,0.5,1.1354829392521342,0.848285832616867,1.0500794677325387,0.7499999999999999
