ticker,observations,last_observation,train_end
CAMP,1016,2021-12-30,2021-12-31
CANI,1745,2021-12-30,2021-12-31
CARE,438,2021-12-30,2021-12-31
CARS,1191,2021-12-30,2021-12-31
CASA,1375,2021-12-30,2021-12-31
CASH,405,2021-12-30,2021-12-31
CASS,1753,2021-12-30,2021-12-31
CCSI,627,2021-12-30,2021-12-31
CEKA,1752,2021-12-30,2021-12-31
CENT,1752,2021-12-30,2021-12-31
CFIN,1752,2021-12-30,2021-12-31
CINT,1751,2021-12-30,2021-12-31
CITA,1753,2021-12-30,2021-12-31
CITY,812,2021-12-30,2021-12-31
CLAY,733,2021-12-30,2021-12-31
CLEO,1177,2021-12-30,2021-12-31
CLPI,1752,2021-12-30,2021-12-31
CMNP,1753,2021-12-30,2021-12-31
CMPP,1753,2021-12-30,2021-12-31
CNKO,1752,2021-12-30,2021-12-31
COCO,691,2021-12-30,2021-12-31
CPIN,1752,2021-12-30,2021-12-31
CPRO,1753,2021-12-30,2021-12-31
CSAP,1753,2021-12-30,2021-12-31
CSIS,1173,2021-12-30,2021-12-31
CSMI,420,2021-12-30,2021-12-31
CSRA,484,2021-12-30,2021-12-31
CTBN,1753,2021-12-30,2021-12-31
CTRA,1752,2021-12-30,2021-12-31
CTTH,1752,2021-12-30,2021-12-31
DADA,458,2021-12-30,2021-12-31
DART,1753,2021-12-30,2021-12-31
DAYA,1386,2021-12-30,2021-12-31
DEAL,783,2021-12-30,2021-12-31
DEFI,1753,2021-12-30,2021-12-31
DEWA,1753,2021-12-30,2021-12-31
DFAM,924,2021-12-30,2021-12-31
DGIK,1752,2021-12-30,2021-12-31
DIGI,822,2021-12-30,2021-12-31
DILD,1752,2021-12-30,2021-12-31
DIVA,772,2021-12-30,2021-12-31
DKFT,1753,2021-12-30,2021-12-31
DLTA,1752,2021-12-30,2021-12-31
DMAS,1643,2021-12-30,2021-12-31
DMMX,538,2021-12-30,2021-12-31
DMND,475,2021-12-30,2021-12-31
DNAR,1752,2021-12-30,2021-12-31
DNET,1753,2021-12-30,2021-12-31
DOID,1752,2021-12-30,2021-12-31
DPNS,1753,2021-12-30,2021-12-31
DPUM,1514,2021-12-30,2021-12-31
DSFI,1752,2021-12-30,2021-12-31
DSNG,1751,2021-12-30,2021-12-31
DSSA,1753,2021-12-30,2021-12-31
DUTI,1753,2021-12-30,2021-12-31
DVLA,1752,2021-12-30,2021-12-31
DWGL,1020,2021-12-30,2021-12-31
DYAN,1751,2021-12-30,2021-12-31
EAST,612,2021-12-30,2021-12-31
ECII,1744,2021-12-30,2021-12-31
EKAD,1753,2021-12-30,2021-12-31
ELSA,1752,2021-12-30,2021-12-31
ELTY,1752,2021-12-30,2021-12-31
