model,months,market_active_annualized_mean,market_ci_lower,market_ci_median,market_ci_upper,market_positive_probability,control_active_annualized_mean,control_ci_lower,control_ci_median,control_ci_upper,control_positive_probability,samples,block_length
cap300_rank_ridge,30,0.3637799213118212,0.06264797942499369,0.35869303882048853,0.6863558615657712,0.9926,0.04466312931564973,-1.09054124810255,0.09438893128389261,0.9268463834355304,0.574,5000,3
chronos2_individual_median,30,0.07273419952479612,-0.585166525185325,0.07341936402896808,0.7331054336773594,0.5812,-0.24638259247137517,-1.109543537704603,-0.22110009847875883,0.5204367765483081,0.2858,5000,3
chronos2_cross_median,30,0.22814893995027763,-0.6298615313034921,0.20250538717065852,1.258357664833538,0.6574,-0.09096785204589382,-1.1034234748824097,-0.07721259951879918,0.9674630343397692,0.4378,5000,3
chronos2_cross_lower10,30,0.24336450547049954,-0.01691871535032152,0.24004436926015466,0.5412473625309697,0.9672,-0.07575228652567177,-1.192431463064684,-0.04335099771753489,0.8138969209885936,0.4614,5000,3
