model,cost_bps,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover
cap500_composite,25.0,2019-01-31_2019-12-31,12,0.05594872112288041,-0.0907583313333864,0.05594872112288041,-0.0907583313333864,0.1467070524562668,0.2937053975776226,0.3260243769357191,-0.2176543800263795,-0.08173242622854304,0.5833333333333334,0.7208856589054686,1.4876946693005446,0.2557193176025694,0.6111111111111112
cap500_composite,25.0,2019-02-28_2020-01-31,12,-0.019739678060918364,-0.15374678206850467,-0.019739678060918364,-0.15374678206850467,0.1340071040075863,0.30538971134286047,0.07984011732179407,-0.2176543800263796,-0.157070533612218,0.5833333333333334,0.7088063950035186,1.3562717220764273,0.26740780933383546,0.5833333333333334
cap500_composite,25.0,2019-03-31_2020-02-29,12,-0.10753897576961424,-0.2983301643039218,-0.10753897576961424,-0.2983301643039218,0.19079118853430754,0.29298078624399737,-0.24742338946826153,-0.15305050502456996,-0.2968733323797681,0.5833333333333334,0.8976907858385716,0.5459240059431003,0.11314467491791458,0.5555555555555555
cap500_composite,25.0,2019-04-30_2020-03-31,12,-0.13021875155819596,-0.26938100433105683,-0.13021875155819596,-0.26938100433105683,0.13916225277286087,0.30700492838424237,-0.3038278349794307,-0.32483969966574844,-0.2897384073692094,0.5833333333333334,0.5808255540294353,0.2755723962416929,-0.013595850647223795,0.5833333333333334
cap500_composite,25.0,2019-05-31_2020-04-30,12,-0.1089095009633142,-0.23441422140073764,-0.1089095009633142,-0.23441422140073764,0.12550472043742344,0.30491450531290143,-0.22905970523199956,-0.33841031799120735,-0.2897384073692094,0.5833333333333334,0.5101572924141756,0.24619875671624675,-0.010019572280508093,0.5555555555555556
cap500_composite,25.0,2019-06-30_2020-05-31,12,-0.23329578551420727,-0.22854562482453433,-0.23329578551420727,-0.22854562482453433,-0.004750160689672933,0.2936504654266323,-0.7531105757428751,-0.38297189168885293,-0.2897384073692095,0.5,0.03911668179583794,0.06626049734037076,-0.1872767078385189,0.5833333333333334
cap500_composite,25.0,2019-07-31_2020-06-30,12,-0.07278530001838501,-0.1941752572672133,-0.07278530001838501,-0.1941752572672133,0.12138995724882828,0.35712298046769403,-0.044857580938564304,-0.38297189168885293,-0.2827760862119635,0.5833333333333334,0.46381223762735496,0.36130054083753443,0.053982575831532875,0.5833333333333334
cap500_composite,25.0,2019-08-31_2020-07-31,12,-0.20020350504633422,-0.1722348942847023,-0.20020350504633422,-0.1722348942847023,-0.02796861076163193,0.35046629456636474,-0.46969462716024174,-0.38297189168885293,-0.27948217627529803,0.5,-0.0037041957507186712,0.30152824903700587,-0.1094865083954073,0.5555555555555556
cap500_composite,25.0,2019-09-30_2020-08-31,12,-0.16469764124016628,-0.21057570090232802,-0.16469764124016628,-0.21057570090232802,0.04587805966216174,0.35130661980762834,-0.3456476171314304,-0.38297189168885304,-0.27948217627529803,0.5833333333333334,0.2245160851800698,0.24870946817015108,-0.06742752156232545,0.5833333333333334
cap500_composite,25.0,2019-10-31_2020-09-30,12,-0.06575732203046791,-0.1766274605970889,-0.06575732203046791,-0.1766274605970889,0.11087013856662098,0.4182274749207292,0.023829213661270585,-0.38297189168885293,-0.2794821762752979,0.5833333333333334,0.41761832614102307,0.4955192888908792,0.0956556485192408,0.5555555555555555
cap500_composite,25.0,2019-11-30_2020-10-31,12,-0.08091055827561877,-0.06643817837031618,-0.08091055827561877,-0.06643817837031618,-0.01447237990530259,0.41833951639557176,-0.015168999981746839,-0.38297189168885293,-0.2794821762752979,0.5,0.06780167252732712,0.4016001967568514,0.008050640050691449,0.49999999999999994
cap500_composite,25.0,2019-12-31_2020-11-30,12,0.020078190666201978,-0.050871312509224054,0.020078190666201978,-0.050871312509224054,0.07094950317542603,0.45843397458333573,0.24519013475734044,-0.3368809884880939,-0.2358764964179022,0.5,0.288422559273126,0.5341582148925212,0.12925883219689838,0.5
cap500_composite,25.0,2020-01-31_2020-12-31,12,0.2737248809380697,-0.013079995771551722,0.2737248809380697,-0.013079995771551722,0.2868048767096214,0.47315786089004946,0.7265537934899233,-0.28262402189386937,-0.16758179221927783,0.5833333333333334,0.6722288387141717,0.43151942529924747,0.39217489676437567,0.5555555555555555
cap500_composite,25.0,2020-02-29_2021-01-31,12,0.8354989197517901,0.14471568274700242,0.8354989197517901,0.14471568274700242,0.6907832370047877,0.5452814265044399,1.3781236391176495,-0.2714700085758397,-0.07033476780972703,0.5833333333333334,1.0882848130913185,0.5641344211349745,0.8972679479416097,0.5277777777777778
cap500_composite,25.0,2020-03-31_2021-02-28,12,1.3035959664811325,0.3187076559568369,1.3035959664811325,0.3187076559568369,0.9848883105242956,0.5636435396595878,1.778757445686697,-0.08610131844885571,-0.07033476780972703,0.5833333333333334,1.2303526599283787,0.2233725569550662,1.4656127278398556,0.5555555555555556
cap500_composite,25.0,2020-04-30_2021-03-31,12,1.840496235215877,0.2712264885896778,1.840496235215877,0.2712264885896778,1.5692697466261991,0.4859246347994147,2.445608231579584,-0.06735530330875605,-0.07033476780972714,0.5833333333333334,1.9201065067281013,0.4979066798643938,1.7649252576579584,0.5277777777777777
cap500_composite,25.0,2020-05-31_2021-04-30,12,2.059429407570975,0.2511461011810818,2.059429407570975,0.2511461011810818,1.808283306389893,0.4713765919784236,2.681312090431181,-0.06729394984227277,-0.07033476780972703,0.6666666666666666,2.167501450063597,0.47724975034024847,1.9980192805160448,0.5277777777777778
cap500_composite,25.0,2020-06-30_2021-05-31,12,2.6627289376448466,0.22018559574957508,2.6627289376448466,0.22018559574957508,2.442543341895272,0.43212165268500646,3.3504898425532224,-0.06729394984227277,-0.07033476780972703,0.75,2.8851713678660778,0.5654602477820355,2.5205746754204834,0.5
cap500_composite,25.0,2020-07-31_2021-06-30,12,3.3178516265302305,0.1787337447456181,3.3178516265302305,0.1787337447456181,3.139117881784612,0.5112690806516714,3.24636535939971,-0.01703672352811758,-0.07033476780972703,0.75,2.8961973298181594,0.4933938114050961,3.3805478022475945,0.5
cap500_composite,25.0,2020-08-31_2021-07-31,12,3.7240018014705107,0.17406019021811336,3.7240018014705107,0.17406019021811336,3.5499416112523976,0.4793080313143793,3.645879619838346,-0.01703672352811736,-0.0471551797914731,0.8333333333333334,3.2915816031662106,0.5220017591711904,3.7202959641217443,0.49999999999999994
cap500_composite,25.0,2020-09-30_2021-08-31,12,2.6660581225743045,0.29094300690606567,2.6660581225743045,0.29094300690606567,2.3751151156682386,0.5881164272623876,2.5844891739599545,-0.2115862860692197,-0.0471551797914731,0.75,2.0824511528511285,0.0651162944794258,3.1194928887650333,0.5
cap500_composite,25.0,2020-10-31_2021-09-30,12,1.8503240777811096,0.285307502281577,1.8503240777811096,0.285307502281577,1.5650165754995327,0.5944859353645452,2.0924211819787204,-0.23947747988704016,-0.04715517979147299,0.6666666666666666,1.5791238294189662,-0.3953815650607015,2.5860356187072417,0.5
cap500_composite,25.0,2020-11-30_2021-10-31,12,2.1460632676659777,0.164192612882329,2.1460632676659777,0.164192612882329,1.9818706547836487,0.5816801322743129,2.3149621116438066,-0.23947747988704005,-0.04715517979147299,0.75,2.0217709631159906,0.23660744604610992,2.463921589196885,0.5833333333333333
cap500_composite,25.0,2020-12-31_2021-11-30,12,1.0596428383466057,0.10075285366229347,1.0596428383466057,0.10075285366229347,0.9588899846843122,0.6565526487917901,1.4200783190860078,-0.34783705636872564,-0.04715517979147321,0.6666666666666666,1.2471032917072775,-0.20385468391647169,1.5016505613497118,0.5555555555555555
cap500_composite,25.0,2021-01-31_2021-12-31,12,0.9104488162155022,0.1311417024200292,0.9104488162155022,0.1311417024200292,0.779307113795473,0.6501454238785058,1.3046225129471407,-0.34783705636872564,-0.04715517979147299,0.6666666666666666,1.0987767223049811,0.09145382590213257,1.244846709648332,0.5277777777777778
cap500_composite,25.0,2021-02-28_2022-01-31,12,0.6684779500237878,0.1035559333431273,0.6684779500237878,0.1035559333431273,0.5649220166806606,0.5957687913747414,1.1405103504852632,-0.34783705636872575,-0.008710521467504728,0.6666666666666666,0.9301528265340744,-1.9143805390995101,1.3257970420699534,0.5555555555555556
cap500_composite,25.0,2021-03-31_2022-02-28,12,0.36481424819791264,0.1814244316261513,0.36481424819791264,0.1814244316261513,0.18338981657176134,0.5635569657214307,0.8065956427841638,-0.34783705636872564,-0.008710521467504728,0.5833333333333334,0.49982494348912,-0.5548850122523142,0.7099274462242002,0.5833333333333334
cap500_composite,25.0,2021-04-30_2022-03-31,12,0.4546615310052997,0.2056999327796627,0.4546615310052997,0.2056999327796627,0.24896159822563702,0.560384118939092,0.9266361627724272,-0.34783705636872564,-0.008710521467504728,0.6666666666666666,0.5791109784933447,-0.7997230429248982,0.9216627763238996,0.638888888888889
cap500_composite,25.0,2021-05-31_2022-04-30,12,0.6388026787985002,0.20202014645819677,0.6388026787985002,0.20202014645819677,0.4367825323403034,0.5791571724936282,1.1272853797293627,-0.34783705636872564,-0.011058901373715124,0.6666666666666666,0.7845542999540317,-1.8365750553022167,1.604457324109612,0.638888888888889
cap500_composite,25.0,2021-06-30_2022-05-31,12,0.2593354075953087,0.1547230806668567,0.2593354075953087,0.1547230806668567,0.10461232692845202,0.6059769993094457,0.6507427284938464,-0.34783705636872575,-0.04389760737316839,0.5833333333333334,0.40785791463334503,0.5703173449944389,0.3583754084511048,0.6666666666666666
cap500_composite,25.0,2021-07-31_2022-06-30,12,-0.1595545464272976,0.14515293481688385,-0.1595545464272976,0.14515293481688385,-0.30470748124418146,0.46263324701417335,-0.1519999069362997,-0.34783705636872564,-0.04389760737316839,0.5,-0.4526759739630955,0.5067555128387279,-0.13205197599371876,0.638888888888889
cap500_composite,25.0,2021-08-31_2022-07-31,12,0.05871734381379046,0.16719366722844042,0.05871734381379046,0.16719366722844042,-0.10847632341464997,0.5472392876798715,0.35578186289976044,-0.2147355806638549,-0.04389760737316839,0.5,0.06739675634557736,1.4248026604244866,-0.03078183528365719,0.6666666666666666
cap500_composite,25.0,2021-09-30_2022-08-31,12,0.42734342955705573,0.11990803732841937,0.42734342955705573,0.11990803732841937,0.30743539222863636,0.48824536197352136,0.9610108716255656,-0.214735580663855,-0.04389760737316817,0.5833333333333334,0.7438354144410502,1.470117761581538,0.3409343762026025,0.6666666666666666
cap500_composite,25.0,2021-10-31_2022-09-30,12,0.3766454297733941,0.07700156092153554,0.3766454297733941,0.07700156092153554,0.29964386885185856,0.4951009757693805,0.8785006030815135,-0.214735580663855,-0.04389760737316828,0.5833333333333334,0.7587246230710424,2.5004639253743495,0.2712913623260873,0.6666666666666666
cap500_composite,25.0,2021-11-30_2022-10-31,12,0.38563098419824593,0.0837751064100245,0.38563098419824593,0.0837751064100245,0.3018558777882214,0.4960272722454272,0.8912296863030136,-0.20009974872380853,-0.04389760737316839,0.5833333333333334,0.7603805984759128,2.6328203898296523,0.24723336494258596,0.6666666666666666
cap500_composite,25.0,2021-12-31_2022-11-30,12,1.502794435788048,0.04089310124175727,1.502794435788048,0.04089310124175727,1.4619013345462908,0.5471462455972124,1.9650921672773423,-0.20009974872380842,-0.052330809109684795,0.6666666666666666,1.8661147219276697,0.04716371813653165,1.7950335591297617,0.6388888888888888
cap500_composite,25.0,2022-01-31_2022-12-31,12,1.2543909086367555,0.03139589518781816,1.2543909086367555,0.03139589518781816,1.2229950134489374,0.5599877439294335,1.7290204510602647,-0.20009974872380842,-0.0538908420070876,0.5833333333333334,1.6546517429394174,0.1386878692244049,1.5263224183168451,0.6666666666666666
cap500_composite,25.0,2022-02-28_2023-01-31,12,1.060409796539823,-0.006523085673795559,1.060409796539823,-0.006523085673795559,1.0669328822136186,0.5527691461716943,1.5705096117425053,-0.20009974872380842,-0.053890842007087936,0.5833333333333334,1.5510289119741585,-0.46716357599746233,1.3080731510017949,0.6944444444444443
