model,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover
existing_composite,full,138,51.42247346036987,0.17903059532174082,0.41098780952819647,0.014424131309626276,0.3965636782185702,0.5428712316118364,0.8832681955497047,-0.611112315860221,-0.34737666250868904,0.5579710144927537,0.8562330630564158,0.8107028332980868,0.5689240969054843,0.5036231884057971
existing_composite,train,84,20.632583092555844,0.2537158161668134,0.5514213675942181,0.03282904728871272,0.5185923203055054,0.38547549537078285,1.3348479226844303,-0.3471477366497887,-0.31286953927505634,0.5952380952380952,1.2018865131494787,0.3487481310511067,0.6318317182847215,0.44642857142857145
existing_composite,validation,24,-0.07190753580997511,0.08698189041321247,-0.036624442810580304,0.04258423660307309,-0.0792086794136534,0.5212631617875122,0.17354994593881673,-0.5574928079075983,-0.08239866000360974,0.4583333333333333,0.08724738710106884,0.6771767421338614,0.061526891044060505,0.611111111111111
existing_composite,holdout,30,1.6110661921216436,-0.1348255975549968,0.4680037082712556,-0.05628368183725396,0.5242873901085096,0.8583827902096194,0.8068529585266346,-0.6111123158602209,-0.34737666250868904,0.5333333333333333,0.9021517516985977,1.515315188728111,1.069390513614958,0.5777777777777777
ridge,full,138,4.163273145073733,0.17903059532174082,0.15343595991588477,0.014424131309626276,0.1390118286062585,0.5876885448213623,0.5037797223347681,-0.9033921275264908,-0.34737666250868904,0.5072463768115942,0.4720324697975188,0.8823521994594202,0.310780409082557,0.78743961352657
ridge,train,84,5.33235713550552,0.2537158161668134,0.301695318479144,0.03282904728871272,0.26886627119043127,0.5499708622738586,0.724817846993274,-0.5876498580357437,-0.31286953927505634,0.5238095238095238,0.6628132927722091,0.8431721935314582,0.4299791389267509,0.7222222222222221
ridge,validation,24,-0.715597588336276,0.08698189041321247,-0.4667060738544605,0.04258423660307309,-0.5092903104575336,0.41229902993658535,-1.2705606249393557,-0.7619515707037448,-0.08239866000360974,0.375,-1.3878822292489694,0.6310299754026004,-0.4319185417773692,0.9444444444444443
ridge,holdout,30,1.8669916314403898,-0.1348255975549968,0.5239494801217117,-0.05628368183725396,0.5802331619589657,0.7553037144020499,0.8802048752872166,-0.5136556282481508,-0.34737666250868904,0.5666666666666667,0.9683146930128947,1.049262268155925,0.9827786663242399,0.8444444444444446
lightgbm,full,138,59.164619956056534,0.17903059532174082,0.4279905052130435,0.014424131309626276,0.4135663739034172,0.9509342021274392,0.7018017640014358,-0.8067748295356753,-0.34737666250868904,0.5434782608695652,0.699137379514314,1.9166206291203172,0.8282403260841307,0.6183574879227053
lightgbm,train,84,0.6876149554623794,0.2537158161668134,0.07762491446185438,0.03282904728871272,0.04479586717314166,0.5838368696073434,0.4026529177173973,-0.8067748295356753,-0.31286953927505634,0.47619047619047616,0.3449330691984255,1.2273077531879097,0.19949465199570393,0.5595238095238094
lightgbm,validation,24,1.241128417778544,0.08698189041321247,0.4970398851662383,0.04258423660307309,0.4544556485631652,0.918418749745527,0.8126168555127421,-0.6950818530615017,-0.08239866000360974,0.5833333333333334,0.7908123944847764,4.505902789773239,0.7001998341966387,0.7083333333333334
lightgbm,holdout,30,14.907468421899345,-0.1348255975549968,2.0244083464605374,-0.05628368183725396,2.080692028297791,1.571104633095043,1.1549818934177607,-0.3302099388869134,-0.34737666250868904,0.7,1.22399163483322,2.7195323464268633,4.9215773970106556,0.7111111111111111
ensemble,full,138,6.176968338229558,0.17903059532174082,0.1869424295387696,0.014424131309626276,0.17251829822914333,0.829376632100112,0.502184625607243,-0.7578477324849262,-0.34737666250868904,0.45652173913043476,0.4833331251870841,1.2649075675870065,0.4599532157473709,0.78743961352657
ensemble,train,84,3.298833491196895,0.2537158161668134,0.23162546716523824,0.03282904728871272,0.19879641987652552,0.630855053516538,0.617483913470479,-0.7578477324849262,-0.31286953927505634,0.4523809523809524,0.5540423611893149,0.6278186736920303,0.42998328731216406,0.7063492063492063
ensemble,validation,24,-0.2217022700147201,0.08698189041321247,-0.1177881603689056,0.04258423660307309,-0.1603723969719787,0.630494473613013,0.05871914132149814,-0.4426899517475912,-0.08239866000360974,0.4166666666666667,-0.013154676815918842,1.2732458122266792,-0.0203359669782478,0.9444444444444443
ensemble,holdout,30,1.145085675953025,-0.1348255975549968,0.35699378040544016,-0.05628368183725396,0.4132774622426941,1.331450507029618,0.5975161961664707,-0.49108598833063766,-0.34737666250868904,0.5,0.6518164147239107,2.224791959769255,1.3367072281485362,0.8888888888888888
ensemble_volmanaged,full,138,3.3042242993411968,0.17903059532174082,0.13532786001098507,0.014424131309626276,0.12090372870135879,0.7642202135535622,0.4275753340883994,-0.7392617303796927,-0.34737666250868904,0.43478260869565216,0.4044706595582786,1.1667294535800916,0.34119896993811616,0.6868896874404975
