model,months,market_active_annualized_mean,market_ci_lower,market_ci_median,market_ci_upper,market_positive_probability,control_active_annualized_mean,control_ci_lower,control_ci_median,control_ci_upper,control_positive_probability,samples,block_length
cap300_rank_ridge,30,0.2330125113673625,-0.052871293733875245,0.2370886624899039,0.5079060802448507,0.945,-0.08610428062880895,-1.1561587815640295,-0.03802664789370275,0.7433384918102964,0.4722,5000,3
chronos2_daily_abs_individual_median,30,0.7172202291823064,-0.1540755320707181,0.6729804307364,1.8738688620472403,0.9368,0.39810343718613506,-0.8892746622227302,0.3915529289109244,1.7427086299808305,0.7264,5000,3
chronos2_daily_abs_cross_median,30,0.7136976911005478,-0.2818239029563431,0.6929788685993634,1.755669981623222,0.9086,0.39458089910437644,-0.6382070169470137,0.3970059321831544,1.358880155693452,0.7776,5000,3
chronos2_daily_abs_cross_lower10,30,0.5030146203579806,0.09462795242321687,0.4879753881602785,0.968128191195214,0.9946,0.1838978283618091,-0.9148869921569447,0.22298230499237115,1.0828516056567623,0.6556,5000,3
chronos2_daily_norm_cross_median,30,0.7136976911005478,-0.26569657354545667,0.7008787413675707,1.7782761219266532,0.9146,0.39458089910437644,-0.6221982766425648,0.38520339218430505,1.3577313427111102,0.7752,5000,3
chronos2_daily_norm_cross_lower10,30,0.5030146203579806,0.09687659433151363,0.48638621215893585,0.9801888784884406,0.9928,0.1838978283618091,-0.9615709496714411,0.23210872830193918,1.1049389625593733,0.667,5000,3
