model,months,market_active_annualized_mean,market_ci_lower,market_ci_median,market_ci_upper,market_positive_probability,control_active_annualized_mean,control_ci_lower,control_ci_median,control_ci_upper,control_positive_probability,samples,block_length
mlp_rank,30,0.4939888722255542,0.19230334371486563,0.49082300905708987,0.8149761896791382,0.9998,0.17487208022938272,-0.9131441036662459,0.23397210912055497,0.9939789421339904,0.6676,5000,3
baseline_mlp_blend_50,30,0.3460280031285264,-0.2892407165331275,0.3215495439965671,1.1063257906985315,0.8318,0.026911211132355083,-0.49783317034585034,0.034319617027495496,0.4929172358510502,0.5554,5000,3
online_best,30,0.4808788127415121,0.17313537211635252,0.47809604474397577,0.8064764160982718,0.999,0.16176202074534063,-0.9849121391721087,0.2030307918063773,1.0232949210202418,0.6484,5000,3
online_soft,30,0.6351074638505072,-0.006513666593136733,0.6186928584738043,1.347357236201341,0.973,0.31599067185433566,-0.23437660940851351,0.3296079747738258,0.7706489387735845,0.8862,5000,3
