model,cost_bps,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover
cap500_composite,0.0,train_2021,12,0.9393625448288605,0.1311417024200292,0.9393625448288605,0.1311417024200292,0.8082208424088313,0.6504887137090504,1.3282746830274048,-0.3437006133007957,-0.04715517979147299,0.6666666666666666,1.1221137499665594,0.08135645455139276,1.2810470954274011,0.5277777777777778
cap500_composite,0.0,validation_2022_2023,24,0.5505155609891668,0.08698189041321247,0.24519699686000163,0.04258423660307309,0.20261276025692854,0.5343098254146519,0.6650936655076882,-0.36687428049812265,-0.08239866000360974,0.5,0.5795049462972618,0.43162774526134134,0.3926976446170223,0.6527777777777778
cap500_composite,0.0,holdout_2024,12,0.1997486261335315,-0.013699490369203038,0.1997486261335315,-0.013699490369203038,0.21344811650273454,0.34436317631000163,0.6883482301741823,-0.15744099168466352,-0.07702368625268208,0.5,0.7476540650542077,0.9836241959045466,0.2753514850524099,0.5555555555555556
cap500_composite,0.0,holdout_2025_2026,18,-0.15517788361266083,-0.12280852134116271,-0.106330677837979,-0.08364672551481533,-0.02268395232316367,0.7303077227502529,0.1744698451474674,-0.5245227537936485,-0.34737666250868915,0.3888888888888889,0.27697326310630815,1.2334685678620698,0.21665421118308603,0.6666666666666666
cap500_composite,25.0,train_2021,12,0.9104488162155022,0.1311417024200292,0.9104488162155022,0.1311417024200292,0.779307113795473,0.6501454238785058,1.3046225129471407,-0.34783705636872564,-0.04715517979147299,0.6666666666666666,1.0987767223049811,0.09145382590213257,1.244846709648332,0.5277777777777778
cap500_composite,25.0,validation_2022_2023,24,0.49186459055114407,0.08698189041321247,0.2214190888270675,0.04258423660307309,0.17883485222399442,0.5342263486180762,0.6285402205208803,-0.37760286481893424,-0.08239866000360974,0.5,0.542929190404986,0.42637259965073626,0.3667132262495596,0.6527777777777778
cap500_composite,25.0,holdout_2024,12,0.18024649348889632,-0.013699490369203038,0.18024649348889632,-0.013699490369203038,0.19394598385809936,0.34402284644219555,0.6405827943188983,-0.1605050518914155,-0.07702368625268208,0.5,0.6979825830309443,0.9873069211172075,0.25471725687296276,0.5555555555555556
cap500_composite,25.0,holdout_2025_2026,18,-0.18092895463288006,-0.12280852134116271,-0.12458419659573938,-0.08364672551481533,-0.04093747108092405,0.7301371716822724,0.14711848603837382,-0.5317924833400742,-0.34737666250868915,0.3888888888888889,0.24703209543478385,1.234296229531283,0.19298570481588628,0.6666666666666666
cap500_composite,50.0,train_2021,12,0.8819246731646413,0.1311417024200292,0.8819246731646413,0.1311417024200292,0.7507829707446121,0.6498076847902144,1.2809344100275581,-0.3519549347398604,-0.04715517979147299,0.6666666666666666,1.075397081390009,0.10155119725287241,1.2091736498231045,0.5277777777777778
cap500_composite,50.0,validation_2022_2023,24,0.435326143510983,0.08698189041321247,0.19805097700848395,0.04258423660307309,0.15546674040541086,0.5341557184039819,0.5919611130999733,-0.3881687433409693,-0.08239866000360974,0.5,0.5063395279732831,0.42111745404013134,0.3411739077917586,0.6527777777777778
