model,cost_bps,windows,median_sharpe,positive_excess_fraction,worst_excess_cagr,median_turnover
composite_mlp_blend_25,25.0,127,1.2437056045997021,0.7874015748031497,-0.25259341406561164,0.3611111111111111
composite_mlp_blend_50,25.0,127,1.0991122204603938,0.8818897637795275,-0.15679087986665308,0.47222222222222215
composite_mlp_blend_75,25.0,127,1.290252282458919,0.889763779527559,-0.21956763241243993,0.5555555555555556
existing_composite,25.0,127,1.1999502879795427,0.8110236220472441,-0.3343830710065857,0.3333333333333333
mlp_excess,25.0,127,1.0066158461423311,0.6456692913385826,-0.37910443619841194,0.5277777777777778
mlp_raw,25.0,127,0.8196462435264849,0.6535433070866141,-0.3004918743064541,0.5833333333333333
online_best,25.0,127,1.2199051569287778,0.905511811023622,-0.23919114321060098,0.4166666666666667
online_soft,25.0,127,1.3500628097241392,0.8110236220472441,-0.2040418682684676,0.4166666666666667
