model,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover
cap300_composite,validation,24,-0.03054265763720332,0.08698189041321247,-0.015389751037093502,0.04258423660307309,-0.05797398764016659,0.6211640159089928,0.2691468888876591,-0.453505033501615,-0.08239866000360974,0.4583333333333333,0.19423880403948024,-0.09663411442604847,0.18570494180015662,0.6666666666666666
cap300_composite,holdout_2024,12,0.30413354070174137,-0.013699490369203038,0.30413354070174137,-0.013699490369203038,0.3178330310709444,0.3388391816783131,0.9481363283947091,-0.1443493273418509,-0.07702368625268208,0.5833333333333334,1.014615314385736,0.9152403466932907,0.3838746055297366,0.5833333333333334
cap300_composite,holdout_2025_2026,18,-0.1710698797680581,-0.12280852134116271,-0.11757335399211,-0.08364672551481533,-0.03392662847729466,1.062195113252671,0.23989996821533238,-0.6247951934077713,-0.34737666250868915,0.3888888888888889,0.31030450704588264,1.4652070500962318,0.39604824556163454,0.6481481481481481
cap300_composite,full,54,0.04801787330202045,-0.05957109249320858,0.0104768665635937,-0.013555994861445209,0.02403286142503891,0.7439681711787236,0.31000887864801263,-0.6247951934077713,-0.34737666250868904,0.46296296296296297,0.3217109665007995,1.2071708972428774,0.25793793826577494,0.6419753086419753
chronos2_ft_cross_median,validation,24,-0.0157332548888941,0.08698189041321247,-0.007897815186809543,0.04258423660307309,-0.05048205178988263,0.6753383225307366,0.2911141217936705,-0.521734921266612,-0.08239866000360974,0.4583333333333333,0.22062059496043987,-0.5358653943261524,0.2446000290101007,0.8194444444444443
chronos2_ft_cross_median,holdout_2024,12,-0.6251454294043248,-0.013699490369203038,-0.6251454294043248,-0.013699490369203038,-0.6114459390351217,0.43243318144598275,-1.9530256924953027,-0.636976937194427,-0.07702368625268208,0.25,-1.9155776942287321,0.34508797793336643,-0.5820847964880411,0.8333333333333331
chronos2_ft_cross_median,holdout_2025_2026,18,1.6592206402354837,-0.12280852134116271,0.9194180829677967,-0.08364672551481533,1.0030648084826121,0.921392316762181,1.106603954323195,-0.5436515845070495,-0.34737666250868915,0.5555555555555556,1.3001365401101765,1.8296698153300721,1.9280462587964822,0.8703703703703702
chronos2_ft_cross_median,full,54,-0.01886222783341651,-0.05957109249320858,-0.004222701161485154,-0.013555994861445209,0.009333293699960055,0.7406139014504529,0.3234771410310994,-0.7659956546792905,-0.34737666250868904,0.4444444444444444,0.3380882446385234,1.347582142126818,0.2691602985232544,0.8395061728395059
chronos2_ft_cross_lower10,validation,24,0.018920034350516035,0.08698189041321247,0.009415689570216657,0.04258423660307309,-0.03316854703285643,0.22439603369961386,0.14740706887606278,-0.20810218279971815,-0.08239866000360974,0.5,-0.04560927293150985,-0.9142034777964138,0.07698927336479833,0.5972222222222222
chronos2_ft_cross_lower10,holdout_2024,12,0.08979033402083059,-0.013699490369203038,0.08979033402083059,-0.013699490369203038,0.10348982439003362,0.09597091802233879,0.9417695012948177,-0.03781265064368455,-0.07702368625268208,0.5833333333333334,0.7978521732235709,0.21126266122915893,0.0962443433910416,0.6666666666666666
chronos2_ft_cross_lower10,holdout_2025_2026,18,0.7044806854788055,-0.12280852134116271,0.4269038931707716,-0.08364672551481533,0.5105506186855869,0.21331586782984419,1.78707225812435,-0.02155925136104153,-0.34737666250868915,0.6111111111111112,1.4697366452015599,0.14659973728405917,0.4672299498230663,0.6666666666666665
chronos2_ft_cross_lower10,full,54,0.8926710421765911,-0.05957109249320858,0.15231775286298532,-0.013555994861445209,0.16587374772443053,0.20110356910801483,0.8048411345126887,-0.22653192653148435,-0.34737666250868904,0.5555555555555556,0.6345849290001817,-0.0018224898619454283,0.1744183717096761,0.6358024691358024
