model,market_months,market_annualized_active_mean,market_ci_lower,market_ci_median,market_ci_upper,market_positive_probability,control_annualized_active_mean,control_ci_lower,control_ci_median,control_ci_upper,control_positive_probability,bootstrap_samples,block_length
mlp_raw,30,0.5168333633905517,0.2702401400728482,0.5121652754314158,0.7658038474417527,1.0,0.2693523320032869,-0.038306269314052795,0.26608486434138146,0.5953863208565998,0.9564,5000,3
mlp_excess,30,0.2964189625086625,0.07941668195874568,0.2941035498574196,0.5243422694493407,0.9974,0.04893793112139763,-0.302184441191101,0.05173384750028315,0.3907523150726582,0.6122,5000,3
composite_mlp_blend_25,30,0.1866832221937832,-0.1175232771508658,0.17805593246468945,0.5130128256340984,0.879,-0.06079780919348167,-0.2460539072604873,-0.06158697647262724,0.12421377869247459,0.2536,5000,3
composite_mlp_blend_50,30,0.18024980699031737,-0.10748326960783575,0.1754278457284032,0.48669309863855115,0.8772,-0.06723122439694752,-0.24392443193034327,-0.06764901654151786,0.13155460434926336,0.2382,5000,3
composite_mlp_blend_75,30,0.3598798466585599,0.02087676060355545,0.36520904947300736,0.6880336240073636,0.9816,0.11239881527129494,-0.18352163289207152,0.11546980732471958,0.3892352216837598,0.7742,5000,3
online_best,30,0.25448453989668646,0.01240416635359142,0.24727985764995225,0.5015216352521739,0.9828,0.00700350850942153,-0.3673761016966596,0.006923966655639452,0.4133752924584752,0.5132,5000,3
online_soft,30,0.29716917964695844,0.007919525841363942,0.2917337825706746,0.593039023968535,0.9788,0.049688148259693504,-0.2007592091660901,0.04718630250443392,0.3121163447760178,0.6436,5000,3
