model,cost_bps,windows,median_sharpe,positive_excess_fraction,worst_excess_cagr,median_turnover
baseline_mlp_blend_50,25.0,127,1.1320541097187997,0.8661417322834646,-0.36037025773608944,0.5833333333333334
cap300_composite,25.0,127,0.7934037582463475,0.7952755905511811,-0.5102123503054349,0.5555555555555555
mlp_rank,25.0,127,0.9583586100972833,0.6299212598425197,-0.3606522065242026,0.5555555555555556
online_best,25.0,127,1.2386235062416364,0.84251968503937,-0.47201689202102415,0.6111111111111112
online_soft,25.0,127,1.3600593398913075,0.937007874015748,-0.16136692973318922,0.5833333333333333
