model,months,market_active_annualized_mean,market_ci_lower,market_ci_median,market_ci_upper,market_positive_probability,control_active_annualized_mean,control_ci_lower,control_ci_median,control_ci_upper,control_positive_probability,samples,block_length
mlp_rank,30,0.2744937023635119,0.02679702466286535,0.26998749104137787,0.540349706809399,0.9862,-0.17384640935078427,-1.3067883586911502,-0.11060867178034112,0.6396232248607961,0.4062,5000,3
baseline_mlp_blend_50,30,0.40691603012289373,-0.24323921356703712,0.381345098158614,1.2058154157746728,0.8616,-0.04142408159140261,-0.7088414376637835,-0.049076697495029235,0.6428860919059847,0.4434,5000,3
online_best,30,0.03979035384337976,-0.1690729079073802,0.0413169345250083,0.24730110793977764,0.6512,-0.4085497578709165,-1.5216611410737884,-0.36664012014820146,0.35989495188744924,0.2108,5000,3
online_soft,30,0.28479216317009276,-0.33293435053254866,0.27006596687426565,1.068762619873673,0.7754,-0.16354794854420351,-0.9817471022839211,-0.16952917706752857,0.6083943560489272,0.3356,5000,3
