model,target,signals,forecast_rows,median_training_rows
stack_ridge_raw,target,78,2090,1565.0
stack_ridge_excess,target_excess,78,2090,1565.0
stack_lightgbm_raw,target,78,2090,1565.0
stack_lightgbm_excess,target_excess,78,2090,1565.0
