model,months,market_active_annualized_mean,market_ci_lower,market_ci_median,market_ci_upper,market_positive_probability,control_active_annualized_mean,control_ci_lower,control_ci_median,control_ci_upper,control_positive_probability,samples,block_length
mlp_rank,30,0.45605992444824345,0.007572555256686182,0.4482614973139205,0.9281970247881075,0.9774,0.2657417201575129,-0.2860229046348352,0.23185936873339552,0.9736998555672366,0.78,5000,3
baseline_mlp_blend_50,30,0.44029532715199377,-0.23702021500560122,0.4367308128765117,1.1823681676265883,0.888,0.24997712286126322,-0.3463250829505169,0.22143869844426906,1.0582100420737561,0.7396,5000,3
online_best,30,0.16689039105567938,-0.23874254474129009,0.16875829355738217,0.5751881649629802,0.7882,-0.023427813235051116,-0.37858998234147684,-0.02610632664544223,0.3321186050279581,0.4452,5000,3
online_soft,30,0.49587167391804976,-0.013562390174118973,0.4827990580491577,1.0507648939761307,0.9722,0.30555346962731933,-0.17172959374525143,0.29164023603367606,0.9001617470090091,0.8774,5000,3
