model,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover
existing_composite,train_2021,0,,,,,,,,,,,,,,
existing_composite,validation_2022_2023,24,0.5160224652712007,0.08698189041321247,0.23126864057816432,0.04258423660307309,0.18868440397509123,0.30327796669459783,0.8313292861262326,-0.2244585756539612,-0.08239866000360974,0.5,0.728415477535444,1.286360105652882,0.21219143545908659,0.3194444444444444
existing_composite,holdout_2024,12,-0.10045235472732372,-0.013699490369203038,-0.10045235472732372,-0.013699490369203038,-0.08675286435812068,0.18219731866309424,-0.49163504781764317,-0.19548635783907986,-0.07702368625268208,0.5833333333333334,-0.5322406143200925,0.9700873712550779,-0.07808936178005532,0.36111111111111116
existing_composite,holdout_2025_2026,18,0.5801276159411108,-0.12280852134116271,0.35663007983222816,-0.08364672551481533,0.4402768053470435,0.4703844538904142,0.8701843486638549,-0.36842269174322173,-0.34737666250868915,0.7222222222222222,1.2671491627877753,1.1990999586867717,0.5974359522735917,0.33333333333333326
existing_composite,full,54,1.1548744475818276,-0.05957109249320858,0.18602480302086133,-0.013555994861445209,0.19958079788230654,0.347318995583821,0.6581557083780132,-0.36842269174322184,-0.34737666250868904,0.5925925925925926,0.7794486671310368,1.1735114221764582,0.2553784331612079,0.3333333333333333
forecast_rank_ensemble,train_2021,0,,,,,,,,,,,,,,
forecast_rank_ensemble,validation_2022_2023,24,-0.07942382033758189,0.08698189041321247,-0.040533387937642607,0.04258423660307309,-0.0831176245407157,0.2232444724460846,-0.07920887210180727,-0.250888585496833,-0.08239866000360974,0.3333333333333333,-0.31397143340389755,1.1780547640423817,-0.06866935855382195,0.736111111111111
forecast_rank_ensemble,holdout_2024,12,-0.144603389334913,-0.013699490369203038,-0.144603389334913,-0.013699490369203038,-0.13090389896570997,0.17846053679917234,-0.7857132483292913,-0.1759404173982113,-0.07702368625268208,0.25,-0.77456908254994,0.6416598360479893,-0.12657120518408227,0.7499999999999999
forecast_rank_ensemble,holdout_2025_2026,18,0.44963408718804554,-0.12280852134116271,0.2808715960500965,-0.08364672551481533,0.3645183215649118,0.5337869449832611,0.7072597084211181,-0.42147934227693806,-0.34737666250868915,0.6666666666666666,1.1499942427811256,1.6578582514283984,0.5887788057711043,0.8148148148148148
forecast_rank_ensemble,full,54,0.1415255878388768,-0.05957109249320858,0.02985146013538631,-0.013555994861445209,0.04340745499683152,0.3512925950864323,0.24715345572242067,-0.42147934227693795,-0.34737666250868904,0.42592592592592593,0.3216129114411913,1.4728324515568825,0.09174421930103427,0.7654320987654318
stack_ridge_raw,train_2021,0,,,,,,,,,,,,,,
stack_ridge_raw,validation_2022_2023,24,-0.029281905774037775,0.08698189041321247,-0.01474973015686909,0.04258423660307309,-0.05733396675994218,0.32603775399176743,0.1080773941009301,-0.3575559821725649,-0.08239866000360974,0.4583333333333333,-0.0348160174202896,2.2028768093879743,-0.06246832257643864,0.6805555555555555
stack_ridge_raw,holdout_2024,12,0.5320694902639052,-0.013699490369203038,0.5320694902639052,-0.013699490369203038,0.5457689806331082,0.2664755645197361,1.7451006026731233,-0.07980475405995524,-0.07702368625268208,0.6666666666666666,1.489782884458353,-0.8940008364965645,0.5662141667317608,0.7777777777777777
stack_ridge_raw,holdout_2025_2026,18,-0.14602748604491045,-0.12280852134116271,-0.09988929156491633,-0.08364672551481533,-0.016242566050100993,0.4479581469302874,-0.022972031772654302,-0.527418389589086,-0.34737666250868915,0.6111111111111112,0.14665521629002756,1.3083992325034295,0.0662070922543958,0.7407407407407407
stack_ridge_raw,full,54,0.27003439228813453,-0.05957109249320858,0.054557117117047804,-0.013555994861445209,0.06811311197849301,0.3580906956159418,0.32273979320006235,-0.527418389589086,-0.34737666250868904,0.5555555555555556,0.3834516337111841,1.2142485135340075,0.1230614915963808,0.722222222222222
stack_ridge_excess,train_2021,0,,,,,,,,,,,,,,
stack_ridge_excess,validation_2022_2023,24,0.06929816560873436,0.08698189041321247,0.03406874317365105,0.04258423660307309,-0.008515493429422039,0.3346735861704894,0.2561287165390654,-0.3129347279292689,-0.08239866000360974,0.5,0.13634529412031735,2.151379300083879,-0.01146115495309974,0.6805555555555555
stack_ridge_excess,holdout_2024,12,0.6058287458008531,-0.013699490369203038,0.6058287458008531,-0.013699490369203038,0.6195282361700561,0.27267355610609073,1.8901348889075034,-0.07980475405995524,-0.07702368625268208,0.6666666666666666,1.6437325528844635,-0.7645567879018557,0.6457101676333818,0.7777777777777777
stack_ridge_excess,holdout_2025_2026,18,-0.15377723955456568,-0.12280852134116271,-0.10534319815916993,-0.08364672551481533,-0.021696472644354592,0.43649973991158786,-0.04772748608154998,-0.5389302632939688,-0.34737666250868915,0.6111111111111112,0.12215545265093004,1.3381357472526132,0.0568615743027876,0.7222222222222221
stack_ridge_excess,full,54,0.45305733754176347,-0.05957109249320858,0.0865828191036302,-0.013555994861445209,0.1001388139650754,0.35867989346349033,0.40616797125276166,-0.5389302632939689,-0.34737666250868904,0.5740740740740741,0.4858049023088611,1.2464773586173163,0.15704960315617478,0.7160493827160491
stack_lightgbm_raw,train_2021,0,,,,,,,,,,,,,,
stack_lightgbm_raw,validation_2022_2023,24,0.12375798190050746,0.08698189041321247,0.06007451714514267,0.04258423660307309,0.01749028054206958,0.24299535081178222,0.35460314868234855,-0.21946746704535092,-0.08239866000360974,0.4583333333333333,0.17439398299251135,0.769298534299834,0.052623102369055985,0.8055555555555555
stack_lightgbm_raw,holdout_2024,12,-0.14688529769321368,-0.013699490369203038,-0.14688529769321368,-0.013699490369203038,-0.13318580732401064,0.20205046894834236,-0.6887543873804343,-0.23729894230816106,-0.07702368625268208,0.4166666666666667,-0.6248431210124996,0.37518071609189363,-0.1277108300779839,0.8333333333333334
stack_lightgbm_raw,holdout_2025_2026,18,0.9370782805553868,-0.12280852134116271,0.5539299876473127,-0.08364672551481533,0.637576713162128,0.49391447216409656,1.1337554239802858,-0.34998006686298,-0.34737666250868915,0.7777777777777778,1.7238743935858158,1.4436419707432255,0.8694760391875893,0.6851851851851851
stack_lightgbm_raw,full,54,0.8570662087821115,-0.05957109249320858,0.14746492581484394,-0.013555994861445209,0.16102092067628915,0.34448437393799564,0.5632495468077806,-0.3933830080519074,-0.34737666250868904,0.5555555555555556,0.6806126119570733,1.2270631283393427,0.21351877194750601,0.7716049382716048
stack_lightgbm_excess,train_2021,0,,,,,,,,,,,,,,
stack_lightgbm_excess,validation_2022_2023,24,0.08693045253304765,0.08698189041321247,0.04255956785837789,0.04258423660307309,-2.4668744695199862e-05,0.2476268681937092,0.2842553233486151,-0.2582275041921197,-0.08239866000360974,0.4583333333333333,0.10408034598164784,0.6913361812242853,0.03985106129143445,0.7777777777777777
stack_lightgbm_excess,holdout_2024,12,-0.17041712539746778,-0.013699490369203038,-0.17041712539746778,-0.013699490369203038,-0.15671763502826475,0.2232446039375245,-0.7272307063677835,-0.2251505392228822,-0.07702368625268208,0.3333333333333333,-0.724231213582262,0.7260844966844471,-0.14527786255838682,0.7777777777777778
stack_lightgbm_excess,holdout_2025_2026,18,1.0434468030966446,-0.12280852134116271,0.6103077787021858,-0.08364672551481533,0.6939545042170011,0.5399772556629604,1.1481748728144603,-0.4096652688348059,-0.34737666250868915,0.7777777777777778,1.7221037017552987,1.6161217898448028,0.9972434716813741,0.7037037037037036
stack_lightgbm_excess,full,54,0.8425737127069088,-0.05957109249320858,0.14546890597122375,-0.013555994861445209,0.15902490083266896,0.3722650160333676,0.5422723753254504,-0.4554272764649038,-0.34737666250868904,0.5370370370370371,0.6603121664732249,1.3786193289171373,0.22306958400586385,0.7530864197530862
stack_ridge_lgbm_50,train_2021,0,,,,,,,,,,,,,,
stack_ridge_lgbm_50,validation_2022_2023,24,0.07223347390860191,0.08698189041321247,0.03548707085535452,0.04258423660307309,-0.00709716574771857,0.23888574517023714,0.2583847976846765,-0.25067118414676837,-0.08239866000360974,0.4583333333333333,0.07662102033630568,1.2356984154193003,0.005887290552474722,0.75
stack_ridge_lgbm_50,holdout_2024,12,0.10181315319269535,-0.013699490369203038,0.10181315319269535,-0.013699490369203038,0.11551264356189839,0.2015211878167099,0.5742682601738672,-0.13423449934561027,-0.07702368625268208,0.6666666666666666,0.5467862402023428,-0.020681558124117958,0.1218648784856513,0.6944444444444445
stack_ridge_lgbm_50,holdout_2025_2026,18,0.7199581475866184,-0.12280852134116271,0.4355288316968178,-0.08364672551481533,0.5191755572116331,0.4754589388164472,0.989229054935756,-0.2853457685756978,-0.34737666250868915,0.6666666666666666,1.5430642459655968,1.3899905609605516,0.7114571417554185,0.7962962962962963
stack_ridge_lgbm_50,full,54,1.031960180654397,-0.05957109249320858,0.17064603486777785,-0.013555994861445209,0.18420202972922306,0.3295740124470734,0.6369722875712595,-0.31104586945380086,-0.34737666250868904,0.5740740740740741,0.781196310314755,1.2099461497134918,0.23262243673403438,0.7530864197530861
stack_base_ridge_50,train_2021,0,,,,,,,,,,,,,,
stack_base_ridge_50,validation_2022_2023,24,0.6282251569904047,0.08698189041321247,0.2760192619981896,0.04258423660307309,0.2334350253951165,0.3331705931907089,0.8902104555259704,-0.2346450550771868,-0.08239866000360974,0.5,0.8381549275569534,1.9669605471542015,0.22864201006269047,0.7222222222222222
stack_base_ridge_50,holdout_2024,12,0.08853526225546893,-0.013699490369203038,0.08853526225546893,-0.013699490369203038,0.10223475262467197,0.15859704066358796,0.6098608011508686,-0.10974331557041406,-0.07702368625268208,0.5,0.6268081312522177,0.3524472672543936,0.10452213672976374,0.7222222222222222
stack_base_ridge_50,holdout_2025_2026,18,0.8289286754807523,-0.12280852134116271,0.49553935565703355,-0.08364672551481533,0.5791860811718489,0.5273481450606908,1.0053772979416058,-0.2891453653153464,-0.34737666250868915,0.6666666666666666,1.4672178277018133,1.4605627114064026,0.8189539521126337,0.7592592592592592
stack_base_ridge_50,full,54,2.241557517158932,-0.05957109249320858,0.2986760437853557,-0.013555994861445209,0.31223203864680094,0.3805194636001594,0.867341697715285,-0.2891453653153463,-0.34737666250868904,0.5555555555555556,1.0498363541910978,1.401039548798026,0.3864740757181402,0.7345679012345678
