model,months,market_active_annualized_mean,market_ci_lower,market_ci_median,market_ci_upper,market_positive_probability,control_active_annualized_mean,control_ci_lower,control_ci_median,control_ci_upper,control_positive_probability,samples,block_length
cap300_rank_ridge,30,0.3354356679172043,-0.02910225430923837,0.32440340993067995,0.7918799873530146,0.9622,-0.11290444379709197,-1.1110572324346855,-0.07191292724935056,0.6892865060074466,0.4402,5000,3
chronos2_daily_abs_individual_median,30,0.6555139975495017,-0.24609801561036151,0.6070626528035135,1.8371012055280942,0.8972,0.20717388583520532,-0.8209644803303673,0.19987977440334836,1.259414212217654,0.6454,5000,3
chronos2_daily_abs_cross_median,30,0.6168574035037,-0.12132998641997494,0.6087424363536644,1.3834341576238818,0.9484,0.16851729178940358,-0.7887138188862791,0.18239336374273896,1.0465819368418807,0.6468,5000,3
chronos2_daily_abs_cross_lower10,30,0.375108752287617,0.06325331638989437,0.3678056797428504,0.7270958338829251,0.9936,-0.0732313594266793,-1.3055052878273474,-0.03354679662443324,0.9142371149855256,0.473,5000,3
chronos2_daily_norm_cross_median,30,0.6168574035037,-0.1284398391177396,0.6136183201797933,1.3669875869019825,0.9428,0.16851729178940358,-0.7634436140242741,0.17377345674075784,1.0484086439136773,0.648,5000,3
chronos2_daily_norm_cross_lower10,30,0.375108752287617,0.06994066487130193,0.36160552970606497,0.7526278535657087,0.9942,-0.0732313594266793,-1.3255794489840718,-0.02313590167852111,0.9334937216802855,0.4834,5000,3
