model,signal_date,strategy_return,gross_return,benchmark_return,turnover,active_return,strategy_equity,benchmark_equity,active_equity,exposure
cap300_composite,2026-01-31,-0.20520406952856396,-0.20353740286189728,-0.011299584724433931,0.6666666666666666,-0.19390448480413003,3.9325093440067236,1.2606037241542498,3.028113282379693,1.0
cap300_composite,2026-02-28,-0.25336613798594754,-0.25086613798594753,-0.14416432461609485,0.9999999999999999,-0.10920181336985268,2.936144638922088,1.0788696396530184,2.6974378208544936,1.0
cap300_composite,2026-03-31,0.0036965107723479105,0.00619651077234791,-0.012970358562965911,0.9999999999999999,0.016666869335313823,2.9469981292090353,1.064876313584021,2.742395664554809,1.0
cap300_composite,2026-04-30,-0.2408492846453033,-0.23918261797863663,-0.11922476414341143,0.6666666666666666,-0.12162452050189188,2.237215737937992,0.9379166862550605,2.4088531068268635,1.0
cap300_composite,2026-05-31,0.11823987175310968,0.11823987175310968,-0.07902022460019531,0.0,0.197260096353305,2.501743839875819,0.8638022990509148,2.8840237027804885,1.0
cap300_composite,2026-06-30,0.027690566487478828,0.02852389982081216,0.1050703103442936,0.3333333333333333,-0.07737974385681476,2.571018544008541,0.9545622746883087,2.6608586873823517,1.0
cap300_composite,2026-07-31,,,,0.6666666666666666,,2.571018544008541,0.9545622746883087,2.6608586873823517,1.0
mlp_rank,2026-01-31,-0.05100440426081822,-0.048504404260818215,-0.011299584724433931,0.9999999999999999,-0.039704819536384287,4.010863547770171,1.2606037241542498,2.884029610541717,1.0
mlp_rank,2026-02-28,-0.04212859598746332,-0.040461929320796654,-0.14416432461609485,0.6666666666666666,0.10203572862863153,3.841891497805318,1.0788696396530184,3.1783036732398897,1.0
mlp_rank,2026-03-31,-0.009617589823720053,-0.00878425649038672,-0.012970358562965911,0.3333333333333333,0.003352768739245858,3.8049417612321887,1.064876313584021,3.1889597904393585,1.0
mlp_rank,2026-04-30,-0.020978043254422367,-0.020144709921089035,-0.11922476414341143,0.3333333333333333,0.09824672088898906,3.725121528384502,0.9379166862550605,3.502264632896863,1.0
mlp_rank,2026-05-31,0.09651936809306742,0.09818603475973409,-0.07902022460019531,0.6666666666666666,0.17553959269326275,4.084667904374055,0.8638022990509148,4.117050740059598,1.0
mlp_rank,2026-06-30,0.05978753563698767,0.060620868970321,0.1050703103442936,0.3333333333333333,-0.04528277470730593,4.3288801322720785,0.9545622746883087,3.9306192589389326,1.0
mlp_rank,2026-07-31,,,,0.6666666666666666,,4.3288801322720785,0.9545622746883087,3.9306192589389326,1.0
chronos2_zero_shot_lower10,2026-01-31,0.0748773839750438,0.07654405064171046,-0.011299584724433931,0.6666666666666666,0.08617696869947773,8.706828087218327,1.2606037241542498,6.5886892906855365,1.0
chronos2_zero_shot_lower10,2026-02-28,0.08014878095210894,0.0818154476187756,-0.14416432461609485,0.6666666666666666,0.22431310556820377,9.404669744368457,1.0788696396530184,8.066618647103175,1.0
chronos2_zero_shot_lower10,2026-03-31,0.02614516715394457,0.028645167153944568,-0.012970358562965911,1.0,0.03911552571691048,9.650556406862615,1.064876313584021,8.382148676242448,1.0
chronos2_zero_shot_lower10,2026-04-30,0.04780502775471442,0.048638361088047755,-0.11922476414341143,0.3333333333333333,0.16702979189812586,10.11190152374112,0.9379166862550605,9.782217225294374,1.0
chronos2_zero_shot_lower10,2026-05-31,0.04167754024759953,0.04417754024759953,-0.07902022460019531,1.0,0.12069776484779485,10.533340706476602,0.8638022990509148,10.962908979643004,1.0
chronos2_zero_shot_lower10,2026-06-30,0.011535947712418282,0.013202614379084949,0.1050703103442936,0.6666666666666666,-0.09353436263187531,10.654852774103603,0.9545622746883087,9.937500275640833,1.0
chronos2_zero_shot_lower10,2026-07-31,,,,1.0,,10.654852774103603,0.9545622746883087,9.937500275640833,0.0
chronos2_annual_ft_lower10,2026-01-31,0.0687768091295184,0.07044347579618507,-0.011299584724433931,0.6666666666666666,0.08007639385395234,1.5549277347063042,1.2606037241542498,1.0887776785599468,1.0
chronos2_annual_ft_lower10,2026-02-28,0.0728542485184562,0.07535424851845621,-0.14416432461609485,0.9999999999999999,0.21701857313455106,1.6682108263188375,1.0788696396530184,1.3250626568217754,1.0
chronos2_annual_ft_lower10,2026-03-31,0.02614516715394457,0.028645167153944568,-0.012970358562965911,1.0,0.03911552571691048,1.7118264772209635,1.064876313584021,1.3768931792512051,1.0
chronos2_annual_ft_lower10,2026-04-30,0.04780502775471442,0.048638361088047755,-0.11922476414341143,0.3333333333333333,0.16702979189812586,1.7936603894757666,0.9379166862550605,1.6068753604474828,1.0
chronos2_annual_ft_lower10,2026-05-31,0.04016345574055728,0.041830122407223946,-0.07902022460019531,0.6666666666666666,0.11918368034075259,1.8656999891420671,0.8638022990509148,1.7983886797544872,1.0
chronos2_annual_ft_lower10,2026-06-30,0.01445626477541373,0.016122931442080397,0.1050703103442936,0.6666666666666666,-0.09061404556887986,1.892671042176591,0.9545622746883087,1.6354294059766565,1.0
chronos2_annual_ft_lower10,2026-07-31,,,,0.3333333333333333,,1.892671042176591,0.9545622746883087,1.6354294059766565,1.0
