model,months,market_active_annualized_mean,market_ci_lower,market_ci_median,market_ci_upper,market_positive_probability,control_active_annualized_mean,control_ci_lower,control_ci_median,control_ci_upper,control_positive_probability,samples,block_length
cap150_lower10,30,0.12140269438100106,-0.20204477160998738,0.11682971251499075,0.4970355504780424,0.7486,-0.06891550990972946,-0.6246681664002034,-0.08572857208335669,0.5375746649556584,0.3872,5000,3
cap300_lower10,30,0.4135488793853641,0.02763390498206998,0.40284207033860886,0.8637192084084402,0.9846,0.22323067509463357,-0.31318534085032124,0.20616013077134182,0.9028547338192983,0.7644,5000,3
cap500_lower10,30,0.6035400814421177,0.049622273744063895,0.5735695086201651,1.282301364828742,0.9852,0.41322187715138725,-0.30219326389610135,0.40178694893286904,1.2808614190783636,0.8504,5000,3
chronos2_cross_cap_rank_ensemble,30,0.7611012950809676,0.14490636405119603,0.7362503812130327,1.5803723399749705,0.996,0.5707830907902371,-0.15584800743022625,0.5525801841443622,1.5121538124397114,0.9232,5000,3
