model,months,market_active_annualized_mean,market_ci_lower,market_ci_median,market_ci_upper,market_positive_probability,control_active_annualized_mean,control_ci_lower,control_ci_median,control_ci_upper,control_positive_probability,samples,block_length
cap300_rank_ridge,30,0.2330125113673625,-0.052871293733875245,0.2370886624899039,0.5079060802448507,0.945,-0.08610428062880895,-1.1561587815640295,-0.03802664789370275,0.7433384918102964,0.4722,5000,3
chronos2_daily_abs_individual_median,30,0.7798993774835414,-0.04696057472443421,0.7149032303536572,1.9690437859057468,0.9634,0.46078258548737017,-0.4382426290228854,0.4472825685555092,1.4478581815105198,0.8392,5000,3
chronos2_daily_abs_cross_median,30,0.5781608795087821,-0.16670083472807573,0.5666886267721942,1.3489976420647267,0.9334,0.25904408751261093,-0.6738756233088761,0.2718133104516678,1.1118766517502776,0.7156,5000,3
chronos2_daily_abs_cross_lower10,30,0.4135488793853641,0.010158787191815831,0.4086228175682136,0.8481290594427092,0.9788,0.09443208738919259,-1.0998585683551878,0.11103398821533922,1.132810633873682,0.5826,5000,3
chronos2_daily_norm_cross_median,30,0.5781608795087821,-0.18625447491979608,0.5803901534925586,1.3281161121713572,0.9324,0.25904408751261093,-0.6552967798293695,0.27244025396930005,1.1040898409088997,0.7202,5000,3
chronos2_daily_norm_cross_lower10,30,0.4135488793853641,0.026052139912015916,0.4057899542738818,0.863112022811213,0.983,0.09443208738919259,-1.1565805773949265,0.13163991703166175,1.1529776508432272,0.5854,5000,3
