model,cost_bps,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover
cap300_composite,25.0,2015-01-31_2015-12-31,12,0.0,-0.12747006008062733,0.0,-0.12747006008062733,0.12747006008062733,0.0,,0.0,-0.2346154234110901,0.5,0.7954681733349814,0.0,0.0,0.0
cap300_composite,25.0,2015-02-28_2016-01-31,12,0.016054624861049138,-0.12464244015822579,0.016054624861049138,-0.12464244015822579,0.14069706501927493,0.016054624861049124,0.9999999999999999,0.0,-0.2346154234110902,0.5,0.894870625059392,0.031091630560304142,0.019993539340658062,0.08333333333333333
cap300_composite,25.0,2015-03-31_2016-02-29,12,0.1456100266047473,-0.12200466014015787,0.1456100266047473,-0.12200466014015787,0.2676146867449052,0.1270587221478781,1.1298943212581853,0.0,-0.1902603904171294,0.5833333333333334,1.452200099992954,0.17298260723207676,0.1768407554146263,0.1111111111111111
cap300_composite,25.0,2015-04-30_2016-03-31,12,0.20085260995707177,-0.048726200591690305,0.20085260995707177,-0.048726200591690305,0.24957881054876208,0.13118883249120883,1.4618929957623228,0.0,-0.19026039041712928,0.5833333333333334,1.3506094577540857,0.17645712401822078,0.21819221520111554,0.16666666666666666
cap300_composite,25.0,2015-05-31_2016-04-30,12,0.1767108811095901,-0.08042168629585977,0.1767108811095901,-0.08042168629585977,0.2571325674054499,0.13533547311983932,1.2685529369641124,-0.020103823439534874,-0.13984875260474772,0.5833333333333334,1.4616447767646,0.22146061847523127,0.2054364904706265,0.16666666666666666
cap300_composite,25.0,2015-06-30_2016-05-31,12,0.3411674360822743,0.021583559353247406,0.3411674360822743,0.021583559353247406,0.3195838767290269,0.1829914750159937,1.70193577523588,-0.020103823439534874,-0.12048239811387595,0.5833333333333334,1.560391839351061,0.5233731003101492,0.3397451638808946,0.2222222222222222
cap300_composite,25.0,2015-07-31_2016-06-30,12,0.47098445075845286,0.08609325121736311,0.47098445075845286,0.08609325121736311,0.38489119954108975,0.19332347046120305,2.1116617505573845,-0.020103823439534874,-0.06335332759593715,0.5833333333333334,1.725057385692606,0.6007429535701245,0.41678328872435344,0.25
cap300_composite,25.0,2015-08-31_2016-07-31,12,0.5846884322973278,0.19435729107699262,0.5846884322973278,0.19435729107699262,0.3903311412203352,0.19393695820481208,2.5035540615871867,-0.020103823439534874,-0.010009943632593221,0.5833333333333334,1.66021163022344,0.6908874973632205,0.4228721545091976,0.2777777777777778
cap300_composite,25.0,2015-09-30_2016-08-31,12,0.7605524478911019,0.27010420996995776,0.7605524478911019,0.27010420996995776,0.4904482379211441,0.2003261366427811,2.9776877812374747,-0.020103823439534874,-0.010009943632593332,0.5833333333333334,1.7664091468312033,0.5284760194668172,0.5818884089966856,0.3333333333333333
cap300_composite,25.0,2015-10-31_2016-09-30,12,0.9573750173247304,0.2171792753369357,0.9573750173247304,0.2171792753369357,0.7401957419877947,0.2012558960820926,3.519422867992727,-0.020103823439534874,-0.010009943632593221,0.6666666666666666,2.698026603104783,1.0617186027749512,0.6254932935289161,0.3888888888888889
