model,cost_bps,windows,median_sharpe,positive_excess_fraction,worst_excess_cagr,median_turnover
existing_composite,25.0,67,0.980449980210728,0.746268656716418,-0.3343830710065857,0.3611111111111111
forecast_rank_ensemble,25.0,67,0.28922949946384463,0.43283582089552236,-0.2127312978136422,0.7222222222222222
stack_base_ridge_50,25.0,67,1.0468312337542254,0.8208955223880597,-0.20494116987191413,0.6666666666666666
stack_lightgbm_excess,25.0,67,1.2686329075711722,0.835820895522388,-0.1623327565528614,0.75
stack_lightgbm_raw,25.0,67,1.029859008414862,0.8656716417910447,-0.21817201999283464,0.7499999999999999
stack_ridge_excess,25.0,67,0.6627368135808035,0.6567164179104478,-0.4078790771670101,0.6111111111111112
stack_ridge_lgbm_50,25.0,67,0.6667885390833481,0.8208955223880597,-0.10779148145712647,0.6944444444444443
stack_ridge_raw,25.0,67,0.8021690416296005,0.7164179104477612,-0.3672725755449464,0.6111111111111112
