model,months,market_active_annualized_mean,market_ci_lower,market_ci_median,market_ci_upper,market_positive_probability,control_active_annualized_mean,control_ci_lower,control_ci_median,control_ci_upper,control_positive_probability,samples,block_length
forecast_rank_ensemble,30,0.20814622881228534,-0.07810204517491033,0.19906540401614686,0.5480905486971503,0.91,-0.03933480257497951,-0.3752741551705544,-0.03839450884229255,0.275607464380093,0.407,5000,3
stack_ridge_raw,30,0.39930991628415524,0.1720423295761574,0.39733257439529457,0.6557328536261992,1.0,0.15182888489689025,-0.18960437880689476,0.15131768610498536,0.5037254954059485,0.8024,5000,3
stack_ridge_excess,30,0.2243653030018329,-0.023646469776468334,0.2228301724736132,0.488966031852202,0.9608,-0.023115728385431925,-0.39822119420983393,-0.022141874387960864,0.3270262158882606,0.4562,5000,3
stack_lightgbm_raw,30,0.2813957378922729,0.025210028161181702,0.27304004075435995,0.5648204071318321,0.9854,0.033914706505007955,-0.3056158851673761,0.026201795609889333,0.38739435224522933,0.5602,5000,3
stack_lightgbm_excess,30,0.22859432588725914,-0.037576211623452774,0.221266635059868,0.5225959984553475,0.9516,-0.018886705500005797,-0.361853652784868,-0.021329508382933363,0.3073142912911418,0.4512,5000,3
stack_ridge_lgbm_50,30,0.3024396587028403,0.0443009597493113,0.2944191964235297,0.5947993274074225,0.9936,0.05495862731557545,-0.2918685180899684,0.050936517490569724,0.4013521890811938,0.6114,5000,3
stack_base_ridge_50,30,0.47151123351049073,0.09301147866155338,0.46423280346639556,0.8913133897921994,0.9954,0.2240302021232259,-0.20768418257862,0.21411342669867844,0.6857186623921435,0.8358,5000,3
