ticker,observations,last_observation
ESSA,1752,2021-12-30
ESTA,442,2021-12-30
ESTI,1753,2021-12-30
ETWA,1752,2021-12-30
EXCL,1753,2021-12-30
FAST,1753,2021-12-30
FASW,1752,2021-12-30
FILM,851,2021-12-30
FIRE,1152,2021-12-30
FISH,1753,2021-12-30
FITT,631,2021-12-30
FMII,1753,2021-12-30
FOOD,741,2021-12-30
FORU,1752,2021-12-30
FPNI,1752,2021-12-30
FUJI,612,2021-12-30
GDST,1752,2021-12-30
GDYR,1752,2021-12-30
GEMA,1753,2021-12-30
GEMS,1753,2021-12-30
GGRM,1752,2021-12-30
GGRP,560,2021-12-30
GHON,937,2021-12-30
GIAA,1753,2021-12-30
GJTL,1752,2021-12-30
GLOB,1753,2021-12-30
GLVA,493,2021-12-30
GMFI,1066,2021-12-30
GMTD,1753,2021-12-30
GOLD,1753,2021-12-30
GOOD,806,2021-12-30
GPRA,1752,2021-12-30
GSMF,1753,2021-12-30
GTBO,1753,2021-12-30
GWSA,1752,2021-12-30
GZCO,1752,2021-12-30
HADE,1753,2021-12-30
HDFA,1753,2021-12-30
HDIT,609,2021-12-30
HEAL,910,2021-12-30
HELI,945,2021-12-30
HERO,1752,2021-12-30
HEXA,1752,2021-12-30
HITS,1753,2021-12-30
HMSP,1753,2021-12-30
HOKI,1138,2021-12-30
HOMI,321,2021-12-30
HRME,673,2021-12-30
HRTA,1144,2021-12-30
HRUM,1753,2021-12-30
IATA,1753,2021-12-30
IBFN,1744,2021-12-30
IBST,1753,2021-12-30
ICBP,1752,2021-12-30
ICON,1752,2021-12-30
IDPR,1512,2021-12-30
IFII,502,2021-12-30
IFSH,505,2021-12-30
IGAR,1752,2021-12-30
IKAI,1752,2021-12-30
IKAN,460,2021-12-30
IKBI,1753,2021-12-30
IMAS,1753,2021-12-30
IMJS,1745,2021-12-30
IMPC,1745,2021-12-30
INAF,1752,2021-12-30
INAI,1752,2021-12-30
INCF,1753,2021-12-30
INCI,1753,2021-12-30
INCO,1752,2021-12-30
INDF,1753,2021-12-30
INDO,482,2021-12-30
INDR,1753,2021-12-30
INDS,1753,2021-12-30
INDX,1753,2021-12-30
INDY,1753,2021-12-30
INKP,1752,2021-12-30
INOV,611,2021-12-30
INPC,1752,2021-12-30
INPP,1753,2021-12-30
INPS,938,2021-12-30
INRU,1753,2021-12-30
INTA,1752,2021-12-30
INTD,1753,2021-12-30
INTP,1752,2021-12-30
IPCC,872,2021-12-30
IPCM,1013,2021-12-30
IPOL,1753,2021-12-30
IPTV,613,2021-12-30
IRRA,542,2021-12-30
ISAT,1753,2021-12-30
ISSP,1751,2021-12-30
ITIC,615,2021-12-30
ITMA,1753,2021-12-30
ITMG,1753,2021-12-30
JAST,650,2021-12-30
JAWA,1752,2021-12-30
JAYA,710,2021-12-30
JECC,1753,2021-12-30
JGLE,1383,2021-12-30
JIHD,1753,2021-12-30
JKON,1753,2021-12-30
JMAS,1017,2021-12-30
JPFA,1753,2021-12-30
JRPT,1753,2021-12-30
JSMR,1752,2021-12-30
JSPT,1753,2021-12-30
JTPE,1753,2021-12-30
KAEF,1752,2021-12-30
KARW,1753,2021-12-30
KAYU,615,2021-12-30
KBAG,421,2021-12-30
KBLI,1753,2021-12-30
KBLM,1752,2021-12-30
KBLV,1752,2021-12-30
KDSI,1753,2021-12-30
KEEN,573,2021-12-30
KEJU,513,2021-12-30
KIAS,1753,2021-12-30
KICI,1753,2021-12-30
KIJA,1753,2021-12-30
KINO,1511,2021-12-30
KIOS,1070,2021-12-30
KJEN,618,2021-12-30
KKGI,1753,2021-12-30
KLBF,1753,2021-12-30
KMDS,324,2021-12-30
KMTR,1146,2021-12-30
KOBX,1751,2021-12-30
KOIN,1752,2021-12-30
KONI,1753,2021-12-30
KOPI,1744,2021-12-30
KOTA,612,2021-12-30
KPIG,1752,2021-12-30
KRAS,1752,2021-12-30
KREN,1753,2021-12-30
LAND,839,2021-12-30
LAPD,1752,2021-12-30
LCKM,996,2021-12-30
LEAD,1744,2021-12-30
LIFE,612,2021-12-30
LINK,1744,2021-12-30
LION,1753,2021-12-30
LMPI,1753,2021-12-30
LMSH,1753,2021-12-30
LPCK,1753,2021-12-30
LPGI,1753,2021-12-30
LPIN,1752,2021-12-30
LPKR,1753,2021-12-30
LPLI,1753,2021-12-30
LPPF,1752,2021-12-30
