model,top_k,cost_bps,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover
cap300_composite,1,25.0,validation,24,-0.24503259143181744,0.08698189041321247,-0.1311113946148318,0.04258423660307309,-0.17369563121790488,1.1968855752505703,0.30156804569209184,-0.5791164939144315,-0.08239866000360974,0.375,0.2603236096364669,-2.1881812330970227,0.5702819643060193,0.7916666666666666
cap300_composite,1,25.0,holdout_2024,12,1.234586762228631,-0.013699490369203038,1.234586762228631,-0.013699490369203038,1.248286252597834,0.5626514712010119,1.7026884258891273,-0.10887541472981521,-0.07702368625268208,0.6666666666666666,1.6394096311120643,-0.9433531038425382,1.4942892820903828,0.6666666666666666
cap300_composite,1,25.0,holdout_2025_2026,18,-0.513073538257168,-0.12280852134116271,-0.381068977696704,-0.08364672551481533,-0.29742225218188867,1.3007448083219324,0.19302467662857822,-0.8119949233965813,-0.34737666250868915,0.4444444444444444,0.24992156015833453,1.9047940362986016,0.42525686273826957,0.7222222222222222
paper_factor,1,25.0,validation,24,0.02781210266459877,0.08698189041321247,0.01381068383825923,0.04258423660307309,-0.02877355276481386,0.26452271866039906,0.18658575970267838,-0.15570320340170551,-0.08239866000360974,0.5416666666666666,0.01511836481559216,0.10819126065074937,0.04538349351076554,0.4583333333333333
paper_factor,1,25.0,holdout_2024,12,0.11989296361129531,-0.013699490369203038,0.11989296361129531,-0.013699490369203038,0.13359245398049835,0.2506518115493737,0.5620969989663754,-0.025056396338038356,-0.07702368625268208,0.5833333333333334,0.5441821125816717,-0.09392934254887662,0.14941417756581754,0.75
paper_factor,1,25.0,holdout_2025_2026,18,-0.5504307968999993,-0.12280852134116271,-0.4131446942799676,-0.08364672551481533,-0.32949796876515225,0.7122329694606453,-0.3390736929866652,-0.7456257656606343,-0.34737666250868915,0.4444444444444444,-0.2755389737675096,0.9795947359272061,-0.1706564251834506,0.6666666666666666
cap300_rank_ridge,1,25.0,validation,24,1.7489737791086855,0.08698189041321247,0.6580029490651353,0.04258423660307309,0.6154187124620623,0.5335111212548448,1.156479963684146,-0.12720843204332788,-0.08239866000360974,0.5,1.013623137844669,-1.8415828603822226,0.9749929697166273,0.75
cap300_rank_ridge,1,25.0,holdout_2024,12,0.33999294273715885,-0.013699490369203038,0.33999294273715885,-0.013699490369203038,0.3536924331063619,0.3387941728179527,1.0218698399791115,-0.09633347408205484,-0.07702368625268208,0.5,1.034783746506845,0.3650090846383407,0.41118137213730566,0.8333333333333334
cap300_rank_ridge,1,25.0,holdout_2025_2026,18,1.5560765558679526,-0.12280852134116271,0.869458827020666,-0.08364672551481533,0.9531055525354813,0.39213298377936145,1.8007716592260707,-0.1288157894736841,-0.34737666250868915,0.6666666666666666,1.882133990692696,0.41340893903482745,1.0306938844701587,0.7777777777777778
cap300_composite,1,100.0,validation,24,-0.3511054766704298,0.08698189041321247,-0.1944601044457387,0.04258423660307309,-0.23704434104881178,1.1992158957252388,0.2415682154297788,-0.5907395161740443,-0.08239866000360974,0.3333333333333333,0.20119824933097938,-2.187888113862917,0.4658349197689866,0.7916666666666666
