model,cost_bps,windows,median_sharpe,positive_excess_fraction,worst_excess_cagr,median_turnover
cap150_composite,25.0,128,0.26108599480629036,0.5390625,-0.6709963196406497,0.5
cap150_rank_ensemble,25.0,127,0.22540041755675655,0.44881889763779526,-0.4376553140930497,0.5555555555555555
cap150_rank_ensemble_volmanaged,25.0,127,0.30599731319385043,0.44881889763779526,-0.27975534002690705,0.45221179233766634
cap150_rank_lightgbm,25.0,127,0.9599894289008941,0.84251968503937,-0.27010420996995776,0.5555555555555555
cap150_rank_ridge,25.0,127,0.15518778072262865,0.3858267716535433,-0.41678642055527537,0.6666666666666666
cap150_raw_ensemble,25.0,127,0.6075529672975262,0.6377952755905512,-0.656904347985975,0.638888888888889
cap150_raw_lightgbm,25.0,127,0.8109520399568647,0.7086614173228346,-0.5538506055796046,0.5833333333333334
cap150_raw_ridge,25.0,127,-0.07499746669755755,0.31496062992125984,-0.7196019682373245,0.7222222222222222
cap300_composite,25.0,128,0.7934037582463475,0.796875,-0.5102123503054349,0.5555555555555555
cap300_rank_ensemble,25.0,127,1.138333297408202,0.84251968503937,-0.3276590414524293,0.6944444444444443
cap300_rank_ensemble_volmanaged,25.0,127,1.0989834113470969,0.7716535433070866,-0.3276590414524293,0.6000228048668659
cap300_rank_lightgbm,25.0,127,0.8026275961910582,0.7401574803149606,-0.5594570252805728,0.6666666666666666
cap300_rank_ridge,25.0,127,0.6127021630923922,0.6299212598425197,-0.6253321082435678,0.6666666666666666
cap300_raw_ensemble,25.0,127,0.07594909032734617,0.5039370078740157,-0.8703524228913782,0.7777777777777778
cap300_raw_lightgbm,25.0,127,0.3446343473713926,0.5433070866141733,-0.7582060584865479,0.5833333333333334
cap300_raw_ridge,25.0,127,-0.413034774048772,0.30708661417322836,-0.795565795962281,0.8484848484848484
cap500_composite,25.0,128,0.9521273848866574,0.7890625,-0.49457254617549096,0.5694444444444444
cap500_rank_ensemble,25.0,127,0.8245381894174668,0.7559055118110236,-0.5053083102098628,0.8055555555555555
cap500_rank_ensemble_volmanaged,25.0,127,0.866723798178376,0.7401574803149606,-0.475281835889112,0.6944444444444445
cap500_rank_lightgbm,25.0,127,0.7781518032413852,0.6771653543307087,-0.4641497575375727,0.75
cap500_rank_ridge,25.0,127,0.40453708637527996,0.5590551181102362,-0.9352714873946237,0.861111111111111
cap500_raw_ensemble,25.0,127,0.4304298555508739,0.5354330708661418,-0.6534943152917505,0.861111111111111
cap500_raw_lightgbm,25.0,127,0.7742614431816224,0.6692913385826772,-0.4786237472578585,0.6388888888888888
cap500_raw_ridge,25.0,127,-0.39967318322096546,0.30708661417322836,-0.7721647164686765,0.9166666666666665
capall_composite,25.0,128,1.2296875234334392,0.84375,-0.6600425636249878,0.5555555555555556
capall_rank_ensemble,25.0,127,0.6814937908394618,0.6456692913385826,-0.556994475379801,0.8888888888888888
capall_rank_ensemble_volmanaged,25.0,127,0.7174973862491725,0.6456692913385826,-0.4512396804079096,0.8234785581350685
capall_rank_lightgbm,25.0,127,0.6859578470252432,0.6692913385826772,-0.4669052546596054,0.8055555555555555
capall_rank_ridge,25.0,127,0.5502468094442527,0.6299212598425197,-0.805909913620056,0.8055555555555555
capall_raw_ensemble,25.0,127,0.5176202328322635,0.5669291338582677,-0.5522622980432024,0.8888888888888888
capall_raw_lightgbm,25.0,127,0.9181892651838541,0.7086614173228346,-0.6280743853600576,0.6944444444444445
capall_raw_ridge,25.0,127,0.565875681247294,0.5511811023622047,-0.7115809712481983,0.9166666666666665
