model,cost_bps,windows,median_sharpe,positive_excess_fraction,worst_excess_cagr,median_turnover
baseline_mlp_blend_50,25.0,127,1.1064394147289167,0.84251968503937,-0.5277647179659548,0.5833333333333334
cap500_composite,25.0,127,0.9521273848866574,0.7874015748031497,-0.49457254617549096,0.5833333333333333
mlp_rank,25.0,127,0.4964151310937595,0.5354330708661418,-0.5877965486560857,0.611111111111111
online_best,25.0,127,1.167196179889972,0.8110236220472441,-0.4678557573954356,0.611111111111111
online_soft,25.0,127,1.3067614194369077,0.84251968503937,-0.5267034664998665,0.5833333333333333
